"clinical_product_rxcui","dose_form_rxcui"
"852018","316949"
"1046310","346285"
"826862","317541"
"700408","316965"
"1091152","91058"
"1668250","1649574"
"1094434","316968"
"1236628","316969"
"833147","317541"
"1806953","316995"
"1006729","7670"
"1665895","1649570"
"904372","317541"
"830736","316965"
"1549693","1649574"
"1369805","721656"
"238135","317541"
"1743938","1649574"
"1044329","316949"
"2257313","346286"
"103403","316983"
"1734483","1649574"
"313583","316943"
"248277","317690"
"727619","721656"
"1737457","1649574"
"1720271","1649574"
"996824","317541"
"1299994","316949"
"2368456","1649574"
"1724884","1649574"
"1011849","346286"
"2362234","317541"
"999447","316949"
"1369842","316968"
"312085","316968"
"2359356","316945"
"310197","317541"
"2169316","317541"
"2170266","1649574"
"2539176","1649574"
"686403","316982"
"241975","316949"
"1006363","316949"
"1234546","316983"
"311372","317541"
"854834","316965"
"309604","317541"
"2168857","316943"
"852542","316949"
"1726293","1649574"
"1439812","317541"
"1091155","316945"
"1806202","316943"
"2001319","317541"
"851952","316949"
"1368022","316985"
"200060","317541"
"763589","316945"
"197366","317541"
"2594749","317541"
"746606","316965"
"2177692","721656"
"2167783","317541"
"2054226","1649574"
"1664456","316945"
"2118449","1649574"
"1042836","346169"
"1739803","316945"
"2571851","1649574"
"237371","316949"
"198503","316983"
"349198","316942"
"2101490","721656"
"761913","346165"
"892542","316949"
"1999308","317541"
"1313925","317541"
"582892","316986"
"283100","317678"
"672558","316942"
"2266539","1649574"
"349196","316942"
"617316","91058"
"1743953","1649574"
"1495463","317007"
"1049580","316968"
"966412","316965"
"876514","317541"
"310293","316992"
"602713","316945"
"904423","316949"
"1653223","1649570"
"1421461","316965"
"1049086","316985"
"637168","316985"
"966405","316965"
"310467","7670"
"313233","316987"
"1115265","316949"
"1738353","1649574"
"1601392","316965"
"798154","797271"
"1234256","1649572"
"2288814","317541"
"1006683","316982"
"199376","316945"
"2102459","1649574"
"242891","316987"
"2380576","316950"
"248506","317541"
"847121","317541"
"1000135","317541"
"2178075","10312"
"200349","1649574"
"1312502","316968"
"249453","1649574"
"966557","316956"
"1874124","1797831"
"199835","316983"
"1099054","1649574"
"1303876","316986"
"1745061","1649574"
"2594794","317541"
"2168864","316943"
"2166089","316983"
"1665514","317541"
"309198","316969"
"1992566","346161"
"1089847","316985"
"200131","316943"
"1100470","317541"
"731179","721656"
"314234","317541"
"1099936","10312"
"728223","317541"
"899518","317541"
"1237068","346163"
"617995","316945"
"388052","316963"
"1430451","317541"
"349407","316949"
"1737761","1649574"
"1593450","316969"
"1442163","316965"
"898715","316968"
"1657979","1649574"
"899898","316949"
"805464","317541"
"1872979","1649570"
"197550","317541"
"1734203","1649574"
"577391","346286"
"895487","316985"
"312880","346286"
"1049123","346165"
"617309","91058"
"312914","316965"
"855926","10312"
"1804852","91058"
"835577","316965"
"2595953","1649574"
"198048","317541"
"1543202","317000"
"2044363","317541"
"792051","316986"
"205284","317541"
"106336","106332"
"2059184","2107948"
"763116","346289"
"727339","721656"
"486515","152903"
"2123168","316992"
"1242131","1649574"
"313519","316983"
"834061","317541"
"313800","316965"
"1926926","316968"
"856457","317541"
"197986","317541"
"401981","1649574"
"998689","316965"
"608139","316965"
"2565807","316982"
"1359343","316985"
"800411","316949"
"702003","316985"
"309381","106332"
"199176","346286"
"1740009","346163"
"309594","316949"
"485818","316965"
"308278","317541"
"544099","346286"
"2570414","91058"
"1651274","2284289"
"1090496","316968"
"2395826","744995"
"751139","317541"
"1086991","317541"
"349253","317541"
"198471","317541"
"2587312","1649574"
"1098674","317541"
"1666372","1649574"
"1089968","317541"
"847082","346285"
"866892","106332"
"309843","316968"
"877463","317541"
"899412","316949"
"142046","11108"
"2106107","316982"
"197960","317541"
"198861","317541"
"1251020","316986"
"1657195","1649574"
"727711","721656"
"1798481","316982"
"314231","317541"
"197784","316983"
"900111","316949"
"485423","316945"
"852131","316949"
"2059035","317541"
"1857911","317541"
"1037234","317541"
"312744","317541"
"665038","317541"
"313996","316949"
"244594","316983"
"686497","346163"
"848748","317541"
"283411","316985"
"2001469","316945"
"723896","316965"
"2261750","316987"
"314211","317541"
"2121587","317541"
"200074","316992"
"834857","316983"
"892631","316949"
"1098227","316968"
"577606","91058"
"1606278","1649574"
"800057","316951"
"2283523","317541"
"411877","316965"
"2478648","1649574"
"1294122","316995"
"597718","317541"
"1659921","316965"
"898490","316945"
"309335","1649574"
"1188426","7670"
"1098347","316983"
"616343","316969"
"313408","316963"
"240755","317541"
"1363312","316965"
"1115583","316965"
"242429","316968"
"618797","317541"
"562360","7670"
"237865","316969"
"1550051","402496"
"1000107","1649574"
"204528","1649574"
"861748","317541"
"198865","317541"
"252745","317541"
"2044359","317541"
"2256945","317541"
"894914","721656"
"1791612","316965"
"317160","316965"
"284008","7670"
"198107","316965"
"856652","316965"
"197495","317541"
"1795621","1649574"
"392046","316968"
"282725","316968"
"309306","91344"
