"ndc9","dose_form_rxcui"
"118220566","316945"
"735310101","346165"
"228402480","316949"
"708390325","317541"
"000937394","316945"
"806710002","797271"
"765370001","316986"
"253570022","7670"
"000694380","316965"
"306980121","317541"
"684620388","317541"
"500905625","316968"
"698420155","316982"
"301420326","7067"
"502690000","317541"
"713351473","317541"
"634590912","721656"
"551500226","316949"
"712050315","317541"
"704150205","346285"
"782060125","721654"
"001490326","91058"
"712050163","317541"
"573190825","91344"
"000676293","346165"
"695360181","10312"
"551500247","1649574"
"003381103","316949"
"557000783","316965"
"672340081","316985"
"526410700","797271"
"518620886","317541"
"100190646","346161"
"552890704","316995"
"505800496","317541"
"547380013","317541"
"669920490","316969"
"638680146","317541"
"116730272","317541"
"441830311","316968"
"001130094","317541"
"499990484","316945"
"000654274","7670"
"685163612","1649574"
"458020486","316965"
"004096476","1649574"
"627560321","1649574"
"794010001","346286"
"005271325","317541"
"717770391","316965"
"003630543","317541"
"494830057","10312"
"000854354","1649574"
"000321212","316995"
"621750583","316943"
"699680355","7670"
"466720645","316968"
"799930110","316986"
"722880007","316965"
"002451645","317541"
"662670088","10312"
"604320275","316968"
"000264828","1649574"
"636293860","316945"
"000318731","317541"
"228403404","316949"
"000024116","317541"
"754270008","346286"
"597790730","316968"
"756170003","346286"
"333580099","316995"
"547660770","346286"
"626992211","402496"
"514070366","316945"
"415200947","316969"
"636292333","317541"
"000132654","721656"
"619190861","317541"
"707101458","316969"
"799030074","317541"
"891305555","721656"
"118220988","316992"
"499990185","316982"
"435380921","316986"
"587680780","7670"
"434850103","1861409"
"503320113","316992"
"004562212","316943"
"000938072","317541"
"497020211","316965"
"699680550","7067"
"420030207","797271"
"606401800","346169"
"476820930","316982"
"000747804","316945"
"000690501","316945"
"412500474","317541"
"701211569","1649574"
"243380205","316968"
"502680644","317541"
"637830012","346169"
"004040400","316985"
"004091041","1649574"
"505630440","797271"
"685460170","317541"
"664240020","316965"
"490350799","316968"
"691970002","316968"
"769823866","797271"
"167140140","316950"
"547990925","7670"
"625590715","317541"
"001350492","10652"
"680470752","317541"
"116730036","316992"
"000236014","316943"
"502680572","316985"
"693440111","316945"
"411630335","316968"
"009240160","244286"
"529213057","346288"
"502420094","316965"
"638680772","317541"
"628560775","317541"
"758540701","317541"
"003636028","317541"
"492810336","316950"
"586570451","317541"
"553010072","7067"
"693960069","316982"
"499990718","1649570"
"000230313","91344"
"707200720","1649574"
"689980664","7067"
